contrast	Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list	analysis
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	2.0035971481236791e-29	34	28.69818959514734	1.9956754067483236	34	0			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Cell cycle	6.645599247063646e-28	75	27.177465851747726	2.3172922929531623	73	2			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	5.2875496132475456e-27	30	26.276745544598736	1.9925419885858424	30	0			All_Treatments
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	Cell cycle	7.32084694352164e-27	73	26.135438672818584	2.2697482101355	69	4			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Cell cycle	9.832412039157498e-27	63	26.007339930103	2.012092412232806	58	5			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	Cell cycle	2.0243971758286361e-26	54	25.693704277233085	1.8482791774530605	52	2			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	Cell cycle	2.0243971758286361e-26	54	25.693704277233085	1.8482791774530605	52	2			Parasite_Effect
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	2.8577811226607695e-23	30	22.54397103686792	2.0154491751987185	30	0			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	1.3274717240568531e-21	24	20.876974720880668	1.6709443657408003	24	0			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	1.3274717240568531e-21	24	20.876974720880668	1.6709443657408003	24	0			Parasite_Effect
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	Mismatch repair	4.850617101105963e-16	19	15.314203006437632	1.8819112203288784	19	0			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Homologous recombination	4.0698542456588745e-15	25	14.390421143954029	2.161480629760605	25	0			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Mismatch repair	4.971198470809866e-15	17	14.303538897682387	1.7484830299807415	17	0			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Homologous recombination	7.108707516391987e-15	22	14.148209354196315	1.8889854895910185	22	0			All_Treatments
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	Homologous recombination	2.309784694403265e-14	24	13.63642850079639	2.035585245895477	24	0			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Mismatch repair	3.316121585242134e-14	18	13.47936955446926	2.0389899859718397	18	0			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	Fanconi anemia pathway	4.9126170038228796e-14	27	13.308687092899568	2.1803212950641626	27	0			All_Treatments
