feature	Oleiharenicola	Hyphomicrobiales_Incertae_Sedis_Genus	Pseudorhodoplanes	Pedosphaeraceae_Genus	Fluviicoccus	Dechloromonas	Rickettsiaceae_Genus	Chitinophagales_Genus	Culicoidibacter	Mycobacterium	Clostridium	SWB02	Noviherbaspirillum	Crenobacter	Streptococcus	Rhodospirillales_Genus	Paracaedibacteraceae_Genus	Lutispora	Beijerinckiaceae_Genus	Piscinibacter	Nitrospira	Rhodococcus	Frankiales_Genus	Pseudobdellovibrionaceae_Genus	Phaselicystis	Pedomicrobium	Reyranella	JGI_0001001.H03	Obscuribacteraceae_Genus	Candidatus_Bealeia	Luteolibacter	Micrococcus	Arthrobacter	Sphingorhabdus	SH.PL14	Candidatus_Obscuribacter	Lysobacter	env.OPS_17_Genus	Luteimonas	Terrimonas	Leuconostoc	Sediminibacterium	Altererythrobacter	SM1A02	Aeromonas	Burkholderia.Caballeronia.Paraburkholderia	Brevifollis	Pajaroellobacter	IS.44	Bacteroidia_Genus	Sphaerotilus	Pseudomonas	Marmoricola	NS9_marine_group_Genus	Hyphomicrobium	Cytophaga	Gracilibacteria_Genus	Verrucomicrobiaceae_Genus	Candidatus_Protochlamydia	Armatimonadaceae_Genus	Alphaproteobacteria_Genus	Microscillaceae_Genus	Paludibaculum	Xanthobacteraceae_Genus	Vampirovibrionaceae_Genus	Flavobacterium	Gammaproteobacteria_Genus	Sphingomonas	Devosia	Saprospiraceae_Genus	Chryseobacterium	Leeia	Brevundimonas	Chlamydiales_Genus	Emticicia	Agitococcus	Phreatobacter	Microtrichaceae_Genus	Ensifer	Haliangiaceae_Genus	Paucibacter	Telmatocola	Paenirhodobacter	Nitrosomonas	Novosphingobium	Comamonadaceae_Genus	Candidatus_Berkiella	Pseudobdellovibrio	Chitinibacter	Gemmataceae_Genus	Polyangiia_Genus	P3OB.42	A21b_Genus	Cetobacterium	Shinella	Sutterellaceae_Genus	Fluviicola	Legionella	Exiguobacterium	Burkholderiales_Genus	AAP99	SM2D12_Genus	Babeliaceae_Genus	Turicibacter	Chitinilyticum	Rickettsiella	Stagnimonas	Vibrio	Roseomonas	Candidatus_Ovatusbacter	Shewanella	Bryobacteraceae_Genus	Fimbriiglobus	Dinghuibacter	Truepera	Caulobacter	Tetragenococcus	Nocardia	Abditibacterium	Enterovirga	Rubrivivax	Neochlamydia	Blfdi19_Genus	Sandaracinaceae_Genus	Chryseotalea	Ga0077536_Genus	Verrucomicrobiia_Genus	Phenylobacterium	Opitutaceae_Genus	Gordonia	Anaerovorax	X37.13_Genus	Microtrichales_Genus	Paracoccus	Sphingopyxis	Rhizorhapis	Cytophagales_Genus	Kinneretia	Marinomonas	cvE6_Genus	Pir4_lineage	Candidatus_Nomurabacteria_Genus	mle1.27_Genus	IMCC26207	Dyadobacter	Caedibacter	Aquihabitans	Agromyces	Bosea	LiUU.11.161_Genus	Undibacterium	Ligilactobacillus	Stella	Neisseriaceae_Genus	TM7a	Bacillus	X0319.6G20_Genus	Parvibium	Afipia	Pseudolysobacter	Glutamicibacter	Rhizobium	Rothia	Candidatus_Megaira	alphaI_cluster	Runella	Chitinophagaceae_Genus	NS11.12_marine_group_Genus	Blastococcus	Cellvibrio	Candidatus_Alysiosphaera	Parachlamydiaceae_Genus	Deinococcus	Gaiellales_Genus	Bacilli_Genus	Fimbriimonadaceae_Genus	Gemmatimonas	TRA3.20_Genus	KD4.96_Genus	Curvibacter	Gemmata	Bradyrhizobium	Nocardioides	Staphylococcus	Vicinamibacteraceae_Genus	Flavihumibacter	Kineosporiaceae_Genus	PB19_Genus	Anaerocolumna	Acinetobacter	Candidatus_Paracaedibacter	Paracoccaceae_Genus	BIrii41_Genus	Kapabacteriales_Genus	SH3.11	CL500.3	Ruminiclostridium	Aquabacterium	Bdellovibrio	Pyrinomonadaceae_Genus	Nevskiaceae_Genus	Holosporaceae_Genus	Variovorax	Blastocatella	Sphingobium	Ottowia	Oscillospiraceae_Genus	Oligoflexaceae_Genus	Stenotrophomonas	Pirellula	Sandaracinus	X67.14_Genus	Malacoplasma	RBG.13.54.9_Genus	Blastomonas	PeM15_Genus	Cypionkella	OM190_Genus	Unknown_Family_Genus	Cloacibacterium	Allomeiothermus	Paraconexibacter	Defluviimonas	JG30.KF.CM45_Genus	Ellin6055	Rhodovastum	Massilia	X11.24_Genus	Thermomicrobiales_Genus	Thermodesulfobacteriota_Genus	Paraclostridium	Pseudomonadales_Genus	Methylorubrum	Candidatus_Captivus	Gemmobacter	MBNT15_Genus	Brevitalea	Rhizobiaceae_Genus	Sporichthyaceae_Genus	Gemmatimonadaceae_Genus	Rhodopseudomonas	Armatimonadota_Genus	Thermoactinomycetaceae_Genus	DEV114	Simkaniaceae_Genus	Eremiobacteria_Genus	Hirschia	Plesiomonas	Arthrospira_PCC.7345	Knoellia	Anoxybacillus	OLB12	Thermus	Rheinheimera	Sporomusaceae_Genus	Chitinimonas	Frisingicoccus	Rhodospirillaceae_Genus	Raineya	Barnesiellaceae_Genus	NB1.j_Genus	Acidovorax	Ferruginibacter	Methylobacterium	Kocuria	Peptoniphilus	Methylocystis	Mesorhizobium	Micavibrionales_Genus	Hassallia	Nannocystis	WY65	Fuscovulum	Turneriella	Permianibacter	Hyphomonadaceae_Genus	Pseudoduganella	Lactococcus	Nordella	Delftia	Steroidobacter	Elstera	Longivirga	Latilactobacillus	Serinicoccus	Roseicella	Tundrisphaera	IMCC26134	Parcubacteria_Genus	Flectobacillus	Desulfotomaculum	KD3.10	Peptostreptococcaceae_Genus	Romboutsia	Opitutus	Bryobacter	Enhydrobacter	AKYH767_Genus	Methyloversatilis	Bordetella	Hyphomicrobiales_Genus	Haliscomenobacter	Sphingomonadaceae_Genus	Hydrogenophaga	Dongia	Babeliales_Genus	Panacibacter	Pseudoxanthomonas	Niveibacterium	Elsteraceae_Genus	Methylibium	Perlucidibaca	Coxiella	Acetivibrio	Polyangiaceae_Genus	Aurantisolimonas	Agrobacterium	Anaerotaenia	Vogesella	CL500.29_marine_group
f257	0	0	0	0	0	305	0	0	5	6	5	0	0	178	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	9	0	0	0	0	0	59361	0	0	0	0	48	0	3318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	19	7	71	0	0	20	562	4	0	0	0	0	0	0	0	2	0	0	0	279	0	0	0	3	0	0	0	0	0	0	1171	0	0	0	0	0	29	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	0	0	43	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	48	5	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2820	0	0	0	0	0	0	0	0	0	0	0
f258	0	21	5	0	0	430	0	0	16	11	109	0	0	930	0	0	0	0	29	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	47993	0	0	0	0	0	0	4338	0	0	31	0	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	0	4	440	0	0	0	3672	0	118	0	0	0	0	0	0	0	0	0	0	11316	0	0	0	0	0	0	0	0	0	0	291	0	0	0	21	0	198	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	59	0	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	431	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	13	0	0	549	0	0	0	9	0	0	0	0	0	0	0	0	0	0	218	0	0	29	0	0	0	0	0	0	0	0	0	210	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3	17	0	0	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1894	0	0	0	0	0	0	118	0	0	0	0
f259	0	29	0	0	0	276	0	0	14	41	264	0	0	1588	13	0	0	0	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	36874	0	0	0	0	0	0	5317	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1028	0	0	0	0	0	0	0	0	0	635	0	0	0	3049	0	145	0	0	0	0	0	0	0	0	0	0	1916	0	0	0	0	0	0	0	0	0	0	345	0	0	10	36	0	153	0	0	11	0	45	0	20	0	0	0	0	0	0	6	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	35	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	436	0	0	0	5	0	11	0	4	0	0	0	0	0	0	178	0	0	34	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	45	0	0	0	0	0	5	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	1315	0	0	0	0	0	0	139	0	0	0	0
f260	0	57	0	0	0	502	0	0	17	76	267	0	0	1877	13	0	0	0	37	0	0	0	0	6	0	0	0	0	0	0	13	0	0	0	0	14	0	0	0	0	0	0	0	0	32109	0	0	0	0	0	0	4217	0	0	7	0	0	0	0	0	0	0	0	0	0	11	1513	0	0	0	0	0	0	3	0	0	890	5	0	0	4175	0	176	0	0	0	0	0	3	0	0	0	0	4416	0	0	0	0	0	0	0	0	0	0	333	0	0	0	58	0	77	0	5	29	0	42	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	45	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	597	0	0	0	16	0	19	0	0	0	0	0	0	0	0	370	0	0	29	0	0	11	0	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	39	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	703	0	0	0	0	0	0	207	0	0	0	0
f376	0	19	34	51	0	935	0	0	44	140	332	0	0	441	7	0	0	0	0	0	5	0	0	12	0	25	4	0	6	0	0	0	0	0	34	38	0	17	13	0	0	0	0	0	48844	0	0	0	0	0	0	1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	0	668	0	133	10	244	0	118	3	0	0	7	0	11	322	0	0	0	240	0	0	455	21	0	0	0	0	0	0	82	0	0	0	28	0	22	0	0	453	0	23	0	0	0	0	0	0	0	0	71	0	0	0	0	11	0	0	0	0	0	0	30	0	0	0	34	0	0	0	0	0	7	0	120	0	23	0	0	0	0	0	2	0	0	0	0	160	0	0	0	0	0	0	0	86	3	13	0	0	0	0	0	0	0	0	9	42	0	0	0	0	0	0	0	0	0	597	0	0	15	0	0	10	0	0	0	9	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	200	0	0	0	3	0	55	0	0	0	0	0	0	0	0	220	0	0	139	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	8	1407	0	0	0	0	0	13	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	925	0	0	0	0	0	0	111	0	0	0	0
f377	15	33	31	122	0	179	0	0	46	153	206	0	0	213	0	0	0	0	0	0	0	0	0	12	0	14	7	0	8	0	0	0	0	0	33	17	0	166	26	0	0	0	0	0	54526	0	0	0	0	0	0	960	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	18	0	420	0	99	79	177	0	103	3	0	24	16	0	0	240	0	0	0	208	0	0	597	33	0	0	0	0	0	0	79	0	0	0	15	0	14	0	0	571	0	18	0	41	0	0	0	0	0	0	133	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0	30	0	0	0	0	0	21	0	56	0	18	0	0	0	0	0	17	0	0	0	0	106	0	0	7	0	6	0	0	46	0	22	0	0	0	0	0	0	0	0	7	41	0	0	0	0	0	0	0	0	0	580	6	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	3	0	0	0	0	0	0	0	146	0	0	0	0	0	42	0	0	0	0	0	0	0	0	189	0	0	87	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1000	0	0	0	0	0	7	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	436	0	0	0	0	0	0	140	0	0	0	0
f378	88	7	11	412	0	1955	0	0	0	384	377	8	0	574	0	0	0	0	0	0	80	0	0	0	64	60	31	0	28	0	0	0	0	23	0	52	0	1234	619	27	0	178	26	0	1269	0	73	69	0	325	94	2476	0	0	0	92	45	0	2	0	0	0	0	0	0	292	8	0	0	22	0	55	0	0	367	0	1778	0	70	1900	4111	39	654	150	27	181	68	29	0	479	0	0	0	264	0	0	956	94	0	25	0	0	0	0	0	7	0	0	6	0	0	0	0	2121	0	114	0	0	0	0	0	0	0	482	1943	0	0	0	0	85	0	0	105	0	0	0	0	0	0	0	36	0	0	0	0	0	21	38	130	0	234	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	22	0	67	246	0	52	0	0	0	0	0	0	0	0	574	278	164	0	79	0	0	0	0	0	0	5775	394	7	0	0	0	13	121	0	0	34	0	0	0	0	0	0	0	12	0	0	0	0	0	32	0	37	57	341	0	0	0	28	8	497	0	0	0	0	0	0	0	0	1192	0	0	421	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	321	0	0	0	0	0	28	117	93	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	155	0	0	0	282	0	0	63	1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	6252	32	0	0	0	0	0	758	0	0	0	0
f379	16	24	28	151	0	292	0	0	83	115	475	3	0	213	7	0	0	0	0	0	13	0	0	0	0	23	0	0	20	0	0	0	0	0	38	10	0	61	128	0	0	0	0	0	61630	0	0	3	0	0	0	947	0	0	0	10	0	0	0	0	0	0	0	0	0	28	31	0	7	0	0	0	0	0	102	0	613	0	85	114	289	0	114	27	0	58	7	0	0	234	0	0	0	263	0	0	190	14	0	0	0	0	0	0	127	0	0	0	11	0	13	0	11	345	0	6	0	9	0	0	0	0	0	3	177	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	0	8	0	29	0	47	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	13	0	0	48	0	10	0	0	0	0	0	0	0	0	33	41	0	0	0	0	0	0	0	0	0	384	0	0	10	0	0	16	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	4	0	95	0	0	0	0	0	38	0	0	0	0	0	0	0	0	139	0	0	139	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	229	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	5	0	0	0	1373	0	0	0	0	0	0	0	0	0	0	0	0	0	2	65	0	0	0	0	0	0	1106	0	0	0	0	5	0	110	0	0	0	0
f380	0	28	35	0	0	122	0	0	30	101	125	0	0	153	0	0	0	0	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	16	30	0	0	9	0	0	0	0	0	77041	0	0	0	0	0	0	1553	0	0	2	3	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	17	0	541	0	53	19	169	0	108	3	0	0	0	0	16	221	0	0	0	261	0	0	87	0	0	0	0	0	0	0	35	0	0	0	0	0	12	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	36	0	28	0	0	0	0	0	5	0	0	0	0	89	0	0	0	0	0	0	0	17	0	12	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0	0	0	416	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	31	0	0	0	0	0	16	0	0	0	0	0	0	0	0	125	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	57	0	0	0	0
f406	0	13	0	0	0	244	0	0	932	0	13	0	0	799	7	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	67721	0	0	0	0	0	0	859	0	0	0	0	0	0	0	0	0	0	0	0	0	97	68	0	0	0	0	0	0	13	0	0	135	0	8	0	425	0	54	0	0	0	0	0	5	16	0	0	0	1767	0	31	0	16	0	0	0	0	0	0	44	0	0	0	8	0	248	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	97	0	0	0	4	0	0	0	0	0	0	0	0	0	0	94	0	0	17	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0	0	0	35	0	0	0	0
f407	0	0	0	0	0	0	0	0	4010	0	11	0	0	412	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61654	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	25	9	0	0	0	0	0	0	0	0	0	86	0	20	0	76	0	13	0	0	0	0	0	0	0	0	0	0	6384	0	0	0	4	0	0	0	0	0	0	9	0	0	0	0	0	213	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
f408	0	31	0	0	0	60	0	0	3033	23	0	0	0	2597	0	0	0	0	0	0	0	13	0	28	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	36623	0	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	43	57	280	0	0	0	0	0	0	17	7	0	498	0	41	0	1716	0	154	0	0	0	0	0	12	106	0	0	0	14450	0	106	0	99	0	0	0	0	0	0	48	0	0	0	56	0	218	0	0	143	0	9	0	0	0	0	0	4	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	39	0	0	0	0	0	0	0	9	0	0	0	0	89	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	15	0	0	134	0	0	0	11	0	5	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	132	0	0	0	0
f409	0	37	0	0	0	743	0	0	5017	45	0	0	0	4167	67	0	0	0	0	0	0	6	0	109	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	28293	0	0	0	0	0	0	1574	0	0	0	0	0	0	10	0	0	0	0	0	0	651	673	0	0	0	0	0	0	66	0	0	638	0	77	0	4919	0	411	0	0	0	0	0	0	151	0	0	0	13068	0	219	0	181	0	0	0	0	0	0	350	0	0	0	143	0	643	0	0	280	0	66	0	0	0	0	0	15	0	0	0	0	51	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	102	0	0	0	0	0	0	0	26	0	0	0	0	122	0	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	21	20	0	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	83	0	0	256	0	0	0	7	0	4	0	0	0	0	0	0	0	0	431	2	0	23	0	0	0	0	0	0	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	0	0	0	400	0	0	0	0
f410	0	40	8	0	0	472	0	0	4615	52	0	0	0	7143	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	0	31809	0	0	0	0	0	0	976	0	0	0	0	0	0	0	0	0	0	0	0	15	410	482	0	0	0	0	0	0	71	0	0	467	0	55	0	3684	0	283	0	0	0	0	0	9	268	0	0	0	7879	0	208	0	105	0	0	0	0	0	0	173	0	0	0	101	0	395	0	0	277	0	33	0	0	0	0	0	12	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	12	0	67	0	0	0	0	0	0	0	20	0	0	0	0	90	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	29	9	0	0	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	0	0	0	34	0	0	229	0	0	0	0	0	6	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	9	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	0	0	0	159	0	0	0	0
f436	0	59	24	54	0	434	0	0	10222	79	0	0	0	4936	0	0	0	0	8	0	9	9	0	46	0	0	0	0	7	0	127	0	0	0	179	30	0	0	9	0	0	0	0	0	5457	0	0	0	0	0	0	2677	0	0	0	0	0	0	0	0	0	0	0	0	10	60	911	0	0	0	0	0	0	17	0	0	2301	0	225	23	3328	0	1131	7	0	0	0	0	6	751	0	0	66	16710	0	163	1009	67	0	0	0	0	0	0	726	0	0	0	268	0	221	0	47	1055	0	109	0	7	0	0	70	0	0	0	9	0	57	0	0	0	0	0	59	0	0	0	7	0	0	0	56	0	0	97	0	0	57	0	185	0	66	0	0	0	0	2	3	0	0	0	0	184	0	0	20	0	0	0	0	699	0	0	0	0	0	0	0	0	0	0	44	98	9	0	0	0	0	0	0	0	0	1263	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	15	0	23	0	0	0	12	20	3	0	104	0	0	0	16	0	38	0	0	0	0	0	0	0	0	546	0	0	140	0	0	0	0	0	0	0	3	0	1711	0	0	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	90	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	376	0	0	0	0	0	0	175	0	0	0	0
f437	0	0	0	8	0	217	0	0	8615	14	0	0	0	3610	7	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	64	0	0	0	62	0	0	0	0	0	0	0	2	0	18500	0	0	0	0	0	0	3029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	10	0	0	693	0	60	0	1262	0	272	0	0	0	0	0	0	359	0	0	0	18237	0	116	467	40	0	0	0	0	0	0	459	0	0	0	97	0	419	0	0	400	0	50	0	0	0	0	22	0	0	0	0	0	39	0	0	0	0	0	8	0	0	0	0	0	0	0	14	0	0	22	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	8	0	446	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	17	0	0	0	0	0	0	0	0	270	0	0	24	0	0	0	0	0	0	0	0	0	2327	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	5	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	128	0	0	0	0
