.sample_name,Sample,Tank.ID,Time,Antibiotics,Temperature,Pathogen,Treatment,History,Sex,Weight.g,Weight.mg,Length.mm,Body.Size,Mortality,Total.Worm.Count,Flagged,notes,fecal.sample.number,gut.sample.number,adultworm.count,larvalworm.count,notes.dissection,PLATE,WELL,treatment_code,treatment_group,time_point,pathogen_status,sex,Exp_Type
f1,1,1,0,0,0,0,A- T- P-,0,M,0.37,370,32,1.129150391,0,0,NA,NA,f1,g1,NA,NA,NA,P1,B1,NA,Control,0,Unexposed,M,No prior stressor(s)
f2,2,1,0,0,0,0,A- T- P-,0,F,0.61,610,37,1.204272205,0,0,0,NA,f2,g2,NA,NA,NA,P1,C1,NA,Control,0,Unexposed,F,No prior stressor(s)
f3,3,1,0,0,0,0,A- T- P-,0,M,0.29,290,33,0.806967749,0,0,0,NA,f3,g3,NA,NA,NA,P1,D1,NA,Control,0,Unexposed,M,No prior stressor(s)
f31,31,2,0,0,0,0,A- T- P-,0,F,0.54,540,36,1.157407407,0,0,0,NA,f31,g31,NA,NA,NA,P1,E1,NA,Control,0,Unexposed,F,No prior stressor(s)
f32,32,2,0,0,0,0,A- T- P-,0,M,0.3,300,32,0.915527344,0,0,0,NA,f32,g32,NA,NA,NA,P1,F1,NA,Control,0,Unexposed,M,No prior stressor(s)
f33,33,2,0,0,0,0,A- T- P-,0,F,0.65,650,38,1.184575011,0,0,0,NA,f33,g33,NA,NA,NA,P1,G1,NA,Control,0,Unexposed,F,No prior stressor(s)
f61,61,3,0,0,0,0,A- T- P-,0,M,0.47,470,35,1.096209913,0,0,0,NA,f61,g61,NA,NA,NA,P1,H1,NA,Control,0,Unexposed,M,No prior stressor(s)
f62,62,3,0,0,0,0,A- T- P-,0,M,0.3,300,33,0.834794223,0,0,0,NA,f62,g62,NA,NA,NA,P1,A2,NA,Control,0,Unexposed,M,No prior stressor(s)
f63,63,3,0,0,0,0,A- T- P-,0,F,0.42,420,35,0.979591837,0,0,0,NA,f63,g63,NA,NA,NA,P1,B2,NA,Control,0,Unexposed,F,No prior stressor(s)
f91,91,4,0,0,0,1,A- T- P+,0,NA,0.42,420,34,1.068593527,0,0,0,"Length: 40, Weight: .67g. Info filled in is for a different fish. Notes are for f91.",f91,g91,NA,NA,NA,P1,C2,NA,Parasite,0,Exposed,NA,No prior stressor(s)
f92,92,4,0,0,0,1,A- T- P+,0,M,0.32,320,31,1.074149911,0,0,0,NA,f92,g92,NA,NA,NA,P1,D2,NA,Parasite,0,Exposed,M,No prior stressor(s)
f93,93,4,0,0,0,1,A- T- P+,0,M,NA,0,NA,#DIV/0!,0,0,0,"Fecal sample, no weight, gut sample confirm",f93,g93,NA,NA,NA,P1,E2,NA,Parasite,0,Exposed,M,No prior stressor(s)
f121,121,5,0,0,0,1,A- T- P+,0,F,0.57,570,36,1.221707819,0,0,0,NA,f121,g121,NA,NA,NA,P1,F2,NA,Parasite,0,Exposed,F,No prior stressor(s)
f122,122,5,0,0,0,1,A- T- P+,0,M,0.38,380,34,0.966822715,0,0,0,NA,f122,g122,NA,NA,Partial Light,P1,G2,NA,Parasite,0,Exposed,M,No prior stressor(s)
f123,123,5,0,0,0,1,A- T- P+,0,M,0.39,390,34,0.992265418,0,0,0,NA,f123,g123,NA,NA,NA,P1,H2,NA,Parasite,0,Exposed,M,No prior stressor(s)
f151,151,6,0,0,0,1,A- T- P+,0,F,0.5,500,35,1.166180758,0,0,0,NA,f151,g151,NA,NA,NA,P1,A3,NA,Parasite,0,Exposed,F,No prior stressor(s)
f152,152,6,0,0,0,1,A- T- P+,0,F,0.56,560,36,1.200274348,0,0,0,NA,f152,g152,NA,NA,NA,P1,B3,NA,Parasite,0,Exposed,F,No prior stressor(s)
f153,153,6,0,0,0,1,A- T- P+,0,F,0.41,410,34,1.043150824,0,0,0,NA,f153,g153,NA,NA,NA,P1,C3,NA,Parasite,0,Exposed,F,No prior stressor(s)
f181,181,7,0,0,1,0,A- T+ P-,1,M,0.35,350,34,0.890494606,0,0,0,NA,f181,g181,NA,NA,NA,P1,D3,NA,Temperature,0,Unexposed,M,Temperature
f182,182,7,0,0,1,0,A- T+ P-,1,F,0.52,520,37,1.026592699,0,0,0,NA,f182,g182,NA,NA,NA,P1,E3,NA,Temperature,0,Unexposed,F,Temperature
f183,183,7,0,0,1,0,A- T+ P-,1,M,0.26,260,30,0.962962963,0,0,0,NA,f183,g183,NA,NA,NA,P1,F3,NA,Temperature,0,Unexposed,M,Temperature
f211,211,8,0,0,1,0,A- T+ P-,1,M,0.39,390,34,0.992265418,0,0,0,NA,f211,g211,NA,NA,NA,P1,G3,NA,Temperature,0,Unexposed,M,Temperature
f212,212,8,0,0,1,0,A- T+ P-,1,M,0.4,400,34,1.017708121,0,0,0,NA,f212,g212,NA,NA,NA,P1,H3,NA,Temperature,0,Unexposed,M,Temperature
f213,213,8,0,0,1,0,A- T+ P-,1,F,0.46,460,34,1.17036434,0,0,0,NA,f213,g213,NA,NA,NA,P1,A4,NA,Temperature,0,Unexposed,F,Temperature
f241,241,9,0,0,1,0,A- T+ P-,1,M,0.45,450,36,0.964506173,0,0,0,NA,f241,g241,NA,NA,NA,P1,B4,NA,Temperature,0,Unexposed,M,Temperature
f242,242,9,0,0,1,0,A- T+ P-,1,M,0.35,350,33,0.973926594,0,0,0,NA,f242,g242,NA,NA,NA,P1,C4,NA,Temperature,0,Unexposed,M,Temperature
f243,243,9,0,0,1,0,A- T+ P-,1,F,0.56,560,37,1.105561369,0,0,0,NA,f243,g243,NA,NA,NA,P1,D4,NA,Temperature,0,Unexposed,F,Temperature
f271,271,10,0,0,1,1,A- T+ P+,1,F,0.31,310,31,1.040582726,0,0,0,NA,f271,g271,NA,NA,NA,P1,E4,NA,Temperature_Parasite,0,Exposed,F,Temperature
f272,272,10,0,0,1,1,A- T+ P+,1,F,0.33,330,33,0.918273646,0,0,0,NA,f272,g272,NA,NA,NA,P1,F4,NA,Temperature_Parasite,0,Exposed,F,Temperature
f273,273,10,0,0,1,1,A- T+ P+,1,M,0.35,350,34,0.890494606,0,0,0,NA,f273,g273,NA,NA,Not a lot of food,P1,G4,NA,Temperature_Parasite,0,Exposed,M,Temperature
f301,301,11,0,0,1,1,A- T+ P+,1,M,0.35,350,35,0.816326531,0,0,0,NA,f301,g301,NA,NA,NA,P1,H4,NA,Temperature_Parasite,0,Exposed,M,Temperature
f302,302,11,0,0,1,1,A- T+ P+,1,M,0.29,290,34,0.737838388,0,0,0,NA,f302,g302,NA,NA,NA,P1,A5,NA,Temperature_Parasite,0,Exposed,M,Temperature
f303,303,11,0,0,1,1,A- T+ P+,1,F,0.36,360,32,1.098632813,0,0,0,NA,f303,g303,NA,NA,NA,P1,B5,NA,Temperature_Parasite,0,Exposed,F,Temperature
f331,331,12,0,0,1,1,A- T+ P+,1,M,0.36,360,34,0.915937309,0,0,0,NA,f331,g331,NA,NA,NA,P1,C5,NA,Temperature_Parasite,0,Exposed,M,Temperature
f332,332,12,0,0,1,1,A- T+ P+,1,F,0.38,380,33.5,1.010762627,0,0,0,NA,f332,g332,NA,NA,NA,P1,D5,NA,Temperature_Parasite,0,Exposed,F,Temperature
f333,333,12,0,0,1,1,A- T+ P+,1,F,0.42,420,33,1.168711913,0,0,0,NA,f333,g333,NA,NA,NA,P1,E5,NA,Temperature_Parasite,0,Exposed,F,Temperature
f361,361,13,0,1,0,0,A+ T- P-,1,F,0.39,390,35,0.909620991,0,0,0,NA,f361,g361,NA,NA,NA,P1,F5,NA,Antibiotics,0,Unexposed,F,Antibiotics
f362,362,13,0,1,0,0,A+ T- P-,1,M,0.34,340,33,0.94610012,0,0,0,NA,f362,g362,NA,NA,NA,P1,G5,NA,Antibiotics,0,Unexposed,M,Antibiotics
f363,363,13,0,1,0,0,A+ T- P-,1,F,0.59,590,37,1.16478787,0,0,0,NA,f363,g363,NA,NA,NA,P1,H5,NA,Antibiotics,0,Unexposed,F,Antibiotics
f391,391,14,0,1,0,0,A+ T- P-,1,M,0.34,340,32,1.037597656,0,0,0,NA,f391,g391,NA,NA,NA,P1,A6,NA,Antibiotics,0,Unexposed,M,Antibiotics
f392,392,14,0,1,0,0,A+ T- P-,1,F,0.42,420,34,1.068593527,0,0,0,NA,f392,g392,NA,NA,Sex Unkown,P1,B6,NA,Antibiotics,0,Unexposed,F,Antibiotics
f393,393,14,0,1,0,0,A+ T- P-,1,NA,0.56,560,35,1.306122449,0,0,0,"Fecal sample, weight, no gut sample",f393,g393,NA,NA,NA,P1,C6,NA,Antibiotics,0,Unexposed,NA,Antibiotics
f421,421,15,0,1,0,0,A+ T- P-,1,M,0.41,410,33,1.140885438,0,0,0,NA,f421,g421,NA,NA,NA,P1,D6,NA,Antibiotics,0,Unexposed,M,Antibiotics
f422,422,15,0,1,0,0,A+ T- P-,1,NA,0.69,690,40,1.078125,0,0,0,"Fecal sample, weight, no gut sample",f422,g422,NA,NA,NA,P1,E6,NA,Antibiotics,0,Unexposed,NA,Antibiotics
f423,423,15,0,1,0,0,A+ T- P-,1,F,0.48,480,34,1.221249746,0,0,0,NA,f423,g423,NA,NA,NA,P1,F6,NA,Antibiotics,0,Unexposed,F,Antibiotics
f451,451,16,0,1,0,1,A+ T- P+,1,F,0.36,360,32,1.098632813,0,0,0,NA,f451,g451,NA,NA,NA,P1,G6,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f452,452,16,0,1,0,1,A+ T- P+,1,M,0.33,330,32,1.007080078,0,0,0,NA,f452,g452,NA,NA,NA,P1,H6,NA,Antibiotics_Parasite,0,Exposed,M,Antibiotics
f453,453,16,0,1,0,1,A+ T- P+,1,F,0.59,590,36,1.26457476,0,0,0,NA,f453,g453,NA,NA,NA,P1,A7,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f481,481,17,0,1,0,1,A+ T- P+,1,F,0.47,470,35,1.096209913,0,0,0,NA,f481,g481,NA,NA,NA,P1,B7,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f482,482,17,0,1,0,1,A+ T- P+,1,F,0.4,400,33,1.113058964,0,0,0,NA,f482,g482,NA,NA,NA,P1,C7,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f483,483,17,0,1,0,1,A+ T- P+,1,F,0.37,370,33,1.029579542,0,0,0,NA,f483,g483,NA,NA,NA,P1,D7,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f511,511,18,0,1,0,1,A+ T- P+,1,F,0.37,370,34,0.941380012,0,0,0,NA,f511,g511,NA,NA,NA,P1,E7,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f512,512,18,0,1,0,1,A+ T- P+,1,F,0.37,370,32,1.129150391,0,0,0,NA,f512,g512,NA,NA,NA,P1,F7,NA,Antibiotics_Parasite,0,Exposed,F,Antibiotics
f513,513,18,0,1,0,1,A+ T- P+,1,M,0.32,320,32,0.9765625,0,0,0,NA,f513,g513,NA,NA,NA,P1,G7,NA,Antibiotics_Parasite,0,Exposed,M,Antibiotics
f541,541,19,0,1,1,0,A+ T+ P-,2,M,0.42,420,34,1.068593527,0,0,0,NA,f541,g541,NA,NA,NA,P1,H7,NA,Antibiotics_Temperature,0,Unexposed,M,Combined
f542,542,19,0,1,1,0,A+ T+ P-,2,M,0.57,570,38,1.038781163,0,0,0,NA,f542,g542,NA,NA,NA,P1,A8,NA,Antibiotics_Temperature,0,Unexposed,M,Combined
f543,543,19,0,1,1,0,A+ T+ P-,2,F,0.42,420,35,0.979591837,0,0,0,NA,f543,g543,NA,NA,NA,P1,B8,NA,Antibiotics_Temperature,0,Unexposed,F,Combined
f571,571,20,0,1,1,0,A+ T+ P-,2,F,0.65,650,36,1.393175583,0,0,0,NA,f571,g571,NA,NA,NA,P1,C8,NA,Antibiotics_Temperature,0,Unexposed,F,Combined
f572,572,20,0,1,1,0,A+ T+ P-,2,NA,0.35,350,32,1.068115234,0,0,0,"Fecal sample, weight, no gut sample",f572,g572,NA,NA,NA,P1,D8,NA,Antibiotics_Temperature,0,Unexposed,NA,Combined
f573,573,20,0,1,1,0,A+ T+ P-,2,M,0.45,450,32,1.373291016,0,0,0,NA,f573,g573,NA,NA,NA,P1,E8,NA,Antibiotics_Temperature,0,Unexposed,M,Combined
f601,601,21,0,1,1,0,A+ T+ P-,2,F,0.33,330,32,1.007080078,0,0,0,NA,f601,g601,NA,NA,NA,P1,F8,NA,Antibiotics_Temperature,0,Unexposed,F,Combined
f602,602,21,0,1,1,0,A+ T+ P-,2,F,0.5,500,34,1.272135152,0,0,0,NA,f602,g602,NA,NA,NA,P1,G8,NA,Antibiotics_Temperature,0,Unexposed,F,Combined
f603,603,21,0,1,1,0,A+ T+ P-,2,F,0.61,610,36,1.307441701,0,0,0,NA,f603,g603,NA,NA,NA,P1,H8,NA,Antibiotics_Temperature,0,Unexposed,F,Combined
f631,631,22,0,1,1,1,A+ T+ P+,2,F,0.38,380,32,1.159667969,0,0,0,NA,f631,g631,NA,NA,NA,P1,A9,NA,Antibiotics_Temperature_Parasite,0,Exposed,F,Combined
f632,632,22,0,1,1,1,A+ T+ P+,2,M,0.46,460,34,1.17036434,0,0,0,NA,f632,g632,NA,NA,NA,P1,B9,NA,Antibiotics_Temperature_Parasite,0,Exposed,M,Combined
f633,633,22,0,1,1,1,A+ T+ P+,2,M,0.36,360,32,1.098632813,0,0,0,NA,f633,g633,NA,NA,NA,P1,C9,NA,Antibiotics_Temperature_Parasite,0,Exposed,M,Combined
